租房名称,面积,朝向,户型,楼层比例,位置,小区年代,价格
自如友家·汇京佳丽园·5居室-03卧,5室1厅,朝南,13.3㎡,4/14,小区距上海南站站步行约890米,未知,2660
自如友家·东方城市花园(二期)·4居室-05卧,4室1厅,朝南,16.1㎡,3/30,小区距上海儿童医学中心站步行约898米,2005,3190
自如友家·丰宝苑·3居室-03卧,3室1厅,朝南,14㎡,7/18,小区距祁华路站步行约696米,未知,1990
自如友家·光鸿苑·4居室-02卧,4室1厅,朝南,12.7㎡,4/32,小区距临沂新村站步行约975米,板楼,2730
自如友家·嘉富丽苑·4居室-05卧,4室1厅,朝南,18.7㎡,2/12,小区距上海动物园站步行约1385米,2003,2890
自如友家·锦秋花园(公寓)·4居室-03卧,4室1厅,朝南,9㎡,9/13,小区距上海大学站步行约684米,2012,2090
自如友家·申江豪城·4居室-01卧,4室1厅,朝南,14.8㎡,6/6,小区距杨思站步行约726米,板楼,3160
自如友家·嘉德公寓·4居室-02卧,4室1厅,朝南,13.2㎡,高层,小区距塘桥站步行约846米,2007,2730
自如友家·恒大翰城瀚林苑·5居室-02卧,5室1厅,朝南,15.1㎡,6/6,小区距华夏西路站步行约536米,板楼,2830
自如友家·绿洲康城金邸·4居室-02卧,4室1厅,朝南,13.1㎡,8/18,小区距御桥站步行约1024米,板楼,3130
自如友家·柳营路309弄·2居室-02卧,2室1厅,朝南,13.61㎡,6/6,小区距西藏北路站步行约986米,板楼,2930
自如友家·未来域·4居室-02卧,4室1厅,朝南,10.2㎡,4/6,小区距浦三路站步行约716米,未知,2190
自如友家·泰宸苑·3居室-02卧,3室1厅,朝北,12.2㎡,3/7,小区距祁连山南路站步行约653米,板楼,2230
自如友家·万科城市花园·4居室-02卧,4室1厅,朝南,10.1㎡,3/7,小区距七宝站步行约868米,1994,2190
自如友家·协和大厦·3居室-01卧,3室1厅,朝南,13.8㎡,4/6,小区距中山北路站步行约155米,未知,3160
自如友家·江南名邸·4居室-02卧,4室1厅,朝南,11.2㎡,10/14,小区距莘庄站步行约1227米,板楼,2190
自如友家·东珂花苑·5居室-02卧,5室1厅,朝南,13.5㎡,14/15,小区距源深体育中心站步行约567米,2004,2760
自如友家·金汇花园一街坊·4居室-01卧,4室1厅,朝南,14.9㎡,3/6,小区距龙柏新村站步行约679米,1995,3290
自如友家·三湘世纪花城三期·4居室-03卧,4室1厅,朝南,13㎡,9/12,小区距江湾镇站步行约1018米,2003,2630
